,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
804,Puraniks Aarambh ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,600,13166,12,2,2,79
805,Puraniks Capitol ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Super Built Up Area,939,9052,13,2,2,85
806,Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,990,8383,13,2,2,83
807,JVM Sarvam ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,684,7748,6,1,2,53
808,Raunak Unnathi Greens ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,801,7865,1,2,2,63
809,Hiranandani Eagleridge ,Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,950,25263,13,3,2,240
810,Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,704,44034,11,2,2,310
811,Paradise Sai Miracle ,902 Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1710,11111,11,3,3,190
812,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890,11235,14,2,2,100
813,Jai Natraj Residency ,401 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,620,7017,4,1,2,43
814,Rosa Bella ,Waghbil Waghbil Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1470,19900,28,3,3,199
815,Unnamed Property,Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,950,12631,9,2,2,120
816,Ornate Kallisto ,Bhiwandi Mumbai Beyond Thane Mumbai,Bhiwandi,0 to 1 Year,Ready To Move,Carpet Area,482,7572,10,1,2,36
817,Sai Satyam Homes ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Super Built Up Area,975,5641,10,2,2,55
818,Marathon Nexzone ,000 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215,7119,24,2,2,86
819,Marathon Nexzone ,000 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215,6995,10,2,2,85
820,Vedant Sumeet Elegance ,1302 Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Carpet Area,975,15384,13,3,3,150
821,Regency Towers ,704 Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,1050,16666,7,3,3,175
822,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1299,14626,20,2,2,190
823,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1650,15454,37,3,3,255
824,Salangpur Salasar Aangan ,602 Kanakia Park Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,1321,9084,6,3,3,120
825,Neelkanth Oasis ,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,989,9302,1,2,2,92
826,Sunteck Signia High ,Borivali East Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1630,30613,3,4,4,499
827,Right Grishma Heights ,Kandivali West Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,448,28571,7,1,2,128
828,Satnam Paradise ,Lok Upvan Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,850,11176,6,2,2,95
829,SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,1 to 5 Year,Ready To Move,Carpet Area,760,31578,13,2,2,240
830,Dheeraj Insignia ,501 Kalina Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2600,21153,5,4,4,550
831,Terrain Heights ,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1040,20288,6,2,2,211
832,Kanakia Paris ,1501 Bandra Kurla Complex Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,965,34525,15,2,2,294
833,Hiranandani Rodas Enclave Eva ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,846,25177,4,3,2,213
834,AO f Residences ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,729,27134,27,2,2,198
835,Orchid Suburbia ,Kandivali West Mumbai,Kandivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1200,29083,20,3,3,349
836,Arihant Anaika ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,390,8205,4,1,2,32
837,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390,10000,6,1,1,39
838,Unnamed Property,409 Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,350,12000,9,1,1,42
839,L and T Emerald Isle ,10th Floor Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1100,21818,9,2,2,240
840,Fortune Springs ,Kharghar Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1350,8592,9,2,2,116
841,Agarwal Lifestyle ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,865,5317,7,2,2,46
842,Sai Yashaskaram ,1900 Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1550,12258,10,3,3,190
843,Progressive Prive ,Prime Locality Of Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1155,8182,3,2,2,95
844,Bhagwati Greens 2 ,2700 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1800,15277,28,3,3,275
845,Bhagwati Greens ,1400 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1380,17753,14,2,2,245
846,Balaji Delta Central ,900 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2100,15476,9,3,3,325
847,Balaji Delta Central ,2300 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1290,14341,23,2,2,185
848,Unique Shanti The Address ,101 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,750,10133,2,1,2,76
849,Unique Shanti The Address ,Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,5647,1947,3,2,2,110
850,Unnamed Property,Bevarly Park Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,510,9411,4,1,1,48
851,Paradise Sai World City ,800 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1500,10000,15,2,2,150
852,Paradise Sai World City ,1000 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1915,9399,15,3,3,180
853,Mukti Shantinath Tower ,Virar West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,667,5637,13,2,2,37
854,Bhagwati Greens 2 ,1400 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1800,15833,14,3,3,285
855,Bhagwati Greens 2 ,2800 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,13750,13,2,2,165
856,Unnamed Property,K1263 Bhiwandi Mumbai Beyond Thane Mumbai,Bhiwandi,0 to 1 Year,Ready To Move,Built Up Area,1332,5255,16,3,2,70
857,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,705,11205,16,1,1,79
858,Hiranandani Avalon ,2525 Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150,28217,25,2,2,325
859,Shiv Om CHS ,1212 Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,13933,12,3,3,209
860,Unnamed Property,Waghbil Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,444,16441,12,1,2,73
861,Silver Sea View ,Charkop Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Super Built Up Area,646,14396,2,1,2,93
862,Sunny Orchid Bliss ,1200 Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,10200,12,2,2,102
863,Shree Balaji Amrit ,400 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,683,7759,4,1,1,53
864,R W Devashree Park ,222 Kolshet Industrial Area Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1150,10434,7,3,3,120
865,Aurum Q Residences ,26 Th Floor Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,15000,26,2,2,180
866,Aurum Q Residences ,26 Th Floor Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,750,16000,26,1,1,120
867,Indiabulls Greens ,000 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1246,5216,22,2,2,65
868,Ashar Edge ,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,680,23382,29,2,2,159
869,Ashar Edge ,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,445,24719,27,1,2,110
870,L and T Crescent Bay ,L T Crescent Bay Jerbai Wadia Road Parel Mumbai Parel South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1900,24578,20,3,3,467
871,Dosti Acres ,Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Carpet Area,430,30000,4,1,2,129
872,Unnamed Property,L T Crescent Bay Jerbai Wadia Road Parel Parel South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2300,25695,17,3,3,591
873,Nahars Amrit Shakti ,Nahar Amrit Shakti r 12 Sector chandivali Film Studio chandivali Farm Road andheri E mumbai 400072 Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1545,21035,9,3,2,325
874,Nahars Amrit Shakti ,Nahar Amrit Shakti r 12 Sector chandivali Film Studio chandivali Farm Road andheri E mumbai 400072 Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1444,22853,21,3,2,330
875,L and T Crescent Bay ,Tower 3 Callisto L T Crescent Bay Jerbai Wadia Road Parel Mumbai Parel South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1800,27222,9,3,3,490
876,Unnamed Property,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,410,16341,5,1,1,67
877,Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1680,19404,25,3,3,326
878,Unnamed Property,203 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,270,27777,2,1,1,75
879,Unnamed Property,301 Kalina Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,950,36842,3,3,3,350
880,Unnamed Property,301 Ambernath East Mumbai Beyond Thane Mumbai,Ambernath Mumbai,0 to 1 Year,Ready To Move,Carpet Area,657,9893,3,2,2,65
881,Unnamed Property,301 Kalina Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,650,26923,3,2,2,175
882,Unnamed Property,401 Kalina Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,780,33333,4,2,2,260
883,Ashtavinayak Aangan ,Sector 8 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,7666,11,2,2,92
884,Shree Labheshwar Aura ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130,7964,9,2,2,90
885,Siddhi Belleza ,102 Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1185,7594,1,2,2,90
886,Unnamed Property,Sector 35G Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1675,11044,11,3,3,185
887,Vinay Unique Gardens ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,470,6808,14,1,2,32
888,Sunshine Solaris ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Built Up Area,690,4347,4,1,1,30
889,Sunshine Solaris ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Built Up Area,885,5084,7,2,2,45
890,Krishna Vastu 1 ,Evershine Nagar Mumbai,Evershine Nagar,10+ Year,Ready To Move,Carpet Area,600,27500,2,2,2,165
891,Unnamed Property,Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1005,11940,7,2,2,120
892,Unnamed Property,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,721,4715,3,1,2,34
893,Unnamed Property,3652 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Built Up Area,1275,8235,13,3,3,105
894,Ganraj Eknath Residency ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,360,5447,4,1,1,19
895,Ajmera Himalayan Heights ,Bhakti Park Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1315,21673,5,3,3,285
896,Ajmera Girnar ,Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,955,19790,5,2,2,189
897,Shah Royale ,Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1070,12616,4,2,2,135
898,Anmol Residency ,301 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,720,11805,3,2,2,85
899,Mahi Kripa ,602 Ranjanpada Navi Mumbai Mumbai,Ranjanpada Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,480,12083,6,1,2,58
900,Unnamed Property,Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Super Built Up Area,800,16625,6,2,2,133
901,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,630,8571,24,1,2,54
902,Ekta Parksville ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,664,6475,3,2,2,43
903,Sky Pan Apartment ,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Carpet Area,800,35000,8,2,2,280
904,Unnamed Property,Oshiwara Mumbai,Oshiwara Mumbai,10+ Year,Ready To Move,Built Up Area,1100,30000,6,2,2,330
905,Goodwill Heritage ,201 Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1015,11822,2,2,2,120
906,Unnamed Property,Andheri East JVLR Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,400,22250,4,1,1,89
907,One Hiranandani Park ,Eagleton Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,2250,30888,21,4,4,695
908,Hiranandani-Estate Chelsea ,9th Of 14th Floor Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,800,23125,9,3,3,185
909,Hiranandani Eagleridge ,12th Of 34 Th Floor Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,704,24147,12,2,2,170
910,Raj Florenza ,102 Vijay Park Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1070,8785,1,2,2,94
911,Unnamed Property,304 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,756,8664,3,1,2,65
912,Unnamed Property,Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1210,7355,11,2,2,89
913,Unnamed Property,Sector 58 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1910,34031,10,3,3,650
914,Hiranandani Rodas Enclave Woodville ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1040,15865,17,2,2,165
915,Hiranandani Lavinia ,A Wing Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Super Built Up Area,630,13968,25,1,2,88
916,Unnamed Property,Near Hiranandani School Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,999,30030,9,3,3,300
917,Aashapura Crown City ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,676,9615,1,2,2,65
918,Geomatrix Silver Crest ,Just Opposite Of Khandeshwar Station Sector 25 Khandeshhwar Navi Mumbai Mumbai,Khandeshhwar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700,8928,6,1,1,62
919,Unnamed Property,500 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,423,12411,5,1,2,52
920,Neelkanth Residency ,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,620,8387,4,1,1,52
921,Mangeshi Jupiter ,Ambivli Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,618,7119,5,2,2,44
922,Unnamed Property,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,725,21379,1,2,2,155
923,Hiranandani Regent Hill ,Hiranandani Gardens Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,480,30416,5,1,2,146
924,Unnamed Property,Sector 18 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,650,8461,4,1,1,55
925,K Raheja Residency ,Sankalp Colony Mumbai,Sankalp Colony,5 to 10 Year,Ready To Move,Super Built Up Area,1150,16521,5,2,2,190
926,Mauli Omkar ,0000 Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400,18750,18,1,2,75
927,Jewel Palms ,802 Sonivali Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Super Built Up Area,615,4691,8,1,1,19
928,Jewel Heights ,902 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,700,5212,9,1,2,24
929,Vishwa Hans ,001 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,800,14375,7,2,2,115
930,Balaji Heights ,001 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1700,17588,29,4,4,299
931,Shree Sai Sapphire ,Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1500,19000,22,3,3,350
932,Shree Sai Sapphire ,Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1500,21666,22,3,3,325
933,Unnamed Property,Powai Vihar Complex Near Gopal Sharma School Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3000,18334,22,6,6,675
934,Unnamed Property,Sher E Punjab Colony Mumbai,Punjab Colony,10+ Year,Ready To Move,Carpet Area,690,20869,3,2,2,144
935,Elegant Olympia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,670,7164,3,1,2,48
936,S H Grand Arena ,Sector 2 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,675,8000,8,1,2,54
937,Unnamed Property,Sector 14 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1600,10312,3,3,3,165
938,Unnamed Property,Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,850,10000,3,3,2,85
939,Unnamed Property,Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,550,10000,2,1,1,55
940,Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,1070,22429,17,3,3,240
941,Unnamed Property,Sai Nagar Navi Mumbai Mumbai,Nagar Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,630,9841,3,2,2,62
942,Unnamed Property,Sunder Nagar Kalina Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1000,23000,5,2,2,230
943,Unnamed Property,204 Kalher Thane Mumbai,Kalher Thane,5 to 10 Year,Ready To Move,Built Up Area,565,3893,2,1,1,22
944,Marathon Cosmos ,Moti Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,900,16111,2,2,2,145
945,Swastik Sarita ,Sector 10 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,400,18750,1,1,2,75
946,Nahar Laurel and Lilac ,1853 Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,970,19793,9,2,2,192
947,Unnamed Property,002 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,650,4907,0,1,2,31
948,Hubtown Gardenia ,Chandan Shanti Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,675,9962,10,1,2,67
949,JP North ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,855,11257,23,2,2,96
950,Kalpataru Srishti ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,827,18137,3,3,2,150
951,Kalpataru Srishti ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,827,17533,11,3,2,145
952,Patels Elysium ,Ambernath East Mumbai Beyond Thane Mumbai,Ambernath Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650,3384,12,1,1,22
953,QN Heights ,Taloje Majkur Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,670,3432,3,1,2,23
954,Runwal Forests ,Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,661,24962,10,2,2,165
955,Sunteck West World ,1370 Naigaon East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,547,11700,13,2,2,64
956,Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,3200,39062,3,4,4,1250
957,Siddhi Highland Gardens ,Dhokali Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,660,12121,4,1,2,80
958,Vijay Park ,Vijay Park Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,5 to 10 Year,Ready To Move,Super Built Up Area,600,8833,1,1,1,53
959,Lodha Amara ,1205 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,520,14423,12,1,2,75
